speaker,vowel,f1,f2,f3,duration,df1_off,df2_off,df3_off,df1_on,df2_on,df3_on,language,register
ale,ae,9.196905072,11.30490738,14.34821072,240,-1.067368016,-2.309968493,14.69326338,-1.328818176,3.359796421,2.050706169,en,cds
ale,eh,3.995182358,11.83590984,15.51204918,30,0.009454738,0.437699702,15.88703939,0.009446722,-0.328920805,-0.042088267,en,cds
ale,ah,4.901806347,11.75606412,15.75574604,110,-0.811618311,0.036219291,16.12638819,0,0.178426731,0.21069164,en,cds
ale,eh,4.421597338,14.20841718,16.10621491,80,0.229701583,-0.396932739,16.43791228,-0.018200169,-0.371609227,-0.158027728,en,cds
ale,uh,4.708735632,14.06246919,16.65060656,121,-0.044185302,0.057077929,16.99039201,-0.169571379,-0.216827925,-0.589898665,en,cds
ale,aa,8.79327787,14.69798545,17.26823529,169.05,0.689549057,3.760350416,17.64945433,-1.796800806,-7.025492535,-1.769441695,en,cds
ale,ih,4.84949429,13.26994801,13.97665184,40,0.265448048,-0.249585747,14.32299077,-0.220750986,0.265060482,0.518732777,en,cds
ale,ah,4.832,12.05102627,15.66217822,40,-0.165051438,0.737588499,16.03831468,0.026230738,0.072831493,-0.259346506,en,cds
ale,aa,6.946813834,11.90309166,15.12102782,181,-0.552771584,0.325833681,15.49359737,0.294200659,-2.573930365,-0.536465166,en,cds
ale,eh,4.988427877,12.49521511,15.56474715,110,1.387581955,0.451898936,15.93101783,1.018578296,0.328293212,1.129773103,en,cds
ale,eh,4.664368573,13.77164485,15.52527221,101,-0.017768706,0.02685477,15.86857237,-0.125204319,-0.724482923,0.355440242,en,cds
ale,eh,4.339457203,14.20841718,15.83523753,51.951,-0.475019922,0.741779778,16.18229015,-0.534906304,0.199102021,0.123096788,en,cds
ale,ah,7.045885798,13.4038422,16.01479195,30,0.014090926,0.40685534,16.36818285,0.705341282,0.044021052,0.344951299,en,cds
ale,iy,7.533085979,13.76568707,15.27065577,340,-1.489902526,0.074953959,15.61468512,1.404471776,-1.672404131,-0.825700817,en,cds
ale,ah,3.5812527,14.03399674,14.64155039,71.007,-0.136445883,-0.45609974,14.97480112,0.068428609,-0.93703738,0.012874391,en,cds
ale,ih,5.361369427,11.13223407,15.87659473,59.052,0.083607636,0.863081118,16.26685952,-0.201787433,0.964877938,0.010288178,en,cds
ale,eh,4.805704945,13.30848679,15.90125222,60,0.447941073,-0.19864009,16.24775855,0.043789346,-0.970540389,-0.854172273,en,cds
ale,ah,4.210449391,12.98017717,15.79773389,70,-0.462807188,0.267850808,16.15496797,0.101490408,-0.17392076,-0.198140396,en,cds
ale,ae,6.650713485,12.39688243,16.48182734,140,-0.080328181,1.117624652,16.85842598,-0.411750861,-0.047847436,-0.638292082,en,cds
ale,ah,5.082904397,11.71984483,15.73674157,92.579,-0.093641788,-0.323471342,16.10301226,0.236744586,-1.50453453,-0.293532664,en,cds
ale,ah,3.957315208,11.33897071,15.48328745,30,-5.598432723,-3.72010253,15.80887141,-0.317384144,-0.072570714,-0.157550527,en,cds
ale,eh,6.162235835,12.28596538,15.83938804,170.587,-0.295961072,-0.56848531,16.19470317,-1.243048843,3.19510326,0.662495102,en,cds
ale,iy,4.503124741,15.3780083,17.14287602,230,-2.976302808,0.139739755,17.4660463,-0.05428386,-0.132783603,-0.209656527,en,cds
ale,uw,7.546452763,11.34746235,15.67289463,30,-0.417897185,-0.238018637,16.04535302,-0.326155338,0.484476064,-0.247594073,en,cds
ale,uw,2.663101124,12.90230143,15.5625617,50,-9.730112407,-2.974293308,15.87713756,10.19820633,2.794093338,1.342308954,en,cds
