speaker,vowel,f1,f2,f3,duration,df1_off,df2_off,df3_off,df1_on,df2_on,df3_on,language,register
HS10,e,5.436049187,12.88866463,15.556,30,-0.155919317,-0.104963691,-0.308222002,-2.667279612,-0.250305334,-0.207474932,sp,ads
HS10,e,3.746723842,12.83383828,16.35224636,30,1.254682194,5.787952483,1.300366021,0.144013269,-0.104018786,0.385788865,sp,ads
HS10,o,5.967823734,10.74256653,16.21148113,60,1.188478399,-1.168387805,0.710475998,-1.276813052,-0.832535376,-1.154804493,sp,ads
HS10,o,2.873496659,11.10160601,13.55661017,30,0.500503029,-0.220352432,-0.769886646,0.7859265,0.194761257,1.562047435,sp,ads
HS10,u,3.008255093,8.046967384,15.46773663,90,0.810564901,0.025341255,0.315987367,0.234655911,-0.025341255,-0.713860776,sp,ads
HS10,a,6.767337542,11.84384615,15.34852507,140,0.620517618,-0.389749142,-0.235851077,-0.697952926,-0.136114595,-0.131177699,sp,ads
HS10,e,5.567504927,13.26994801,15.86834951,70.664,0.761799982,0.494856771,-0.265367419,-0.709274189,0.657536713,-0.199738852,sp,ads
HS10,a,6.817925926,11.47368836,16.15327038,80,1.080380969,-0.362221478,-0.221432731,-0.240813065,-0.653411811,0.140488647,sp,ads
HS10,e,4.726431501,8.308864569,13.57199516,30.034,0.637140961,-2.757585923,0.021549427,0.390620452,5.041115746,1.844329005,sp,ads
HS10,o,5.065789261,9.459385403,14.60016004,91.406,-0.102278236,-1.496146822,-1.19129705,-0.103274048,0.2283822,0.113121937,sp,ads
HS10,o,4.154694737,10.32748027,15.75995996,40,1.34392207,0.750468188,0.272237635,0.266902601,0.510968161,-0.035926211,sp,ads
HS10,a,5.32800638,10.62219309,15.62557989,40,-0.008350735,-1.509287796,-0.246893871,0.149301617,0.207174746,0.032305701,sp,ads
HS10,u,2.351220401,7.75122708,14.53226917,38.808,0.35384517,-1.186330675,0.050113805,0.140821247,-0.124972199,0.119583009,sp,ads
HS10,e,5.03147594,13.87499528,15.82068471,54.859,0.008595681,0.266227495,0.039705692,-2.294307481,-0.10037367,-0.335179372,sp,ads
HS10,e,4.311939799,12.4843581,15.01336192,100,0.39262065,-0.407718334,-0.50750622,0.173120342,2.074116137,-0.085187369,sp,ads
HS10,e,4.866960065,12.24110072,15.5625617,50,0.712265328,0.338009066,-0.045708003,0.104199708,-0.079209265,0.375458378,sp,ads
HS10,e,4.814477124,13.72082218,16.01278624,26.061,-0.043753614,0.377208196,0.984948986,0.061205157,0.035917572,-0.056479761,sp,ads
HS10,e,5.244131305,13.98241048,15.65573797,42.115,-0.257853669,-0.483830523,-0.574998308,-0.247079867,-0.578568289,-0.05180461,sp,ads
HS10,e,4.339457203,14.6800883,15.65358948,50,0.975985768,0.843280344,0.183628571,0.262489992,-0.386310928,-0.019375546,sp,ads
HS10,i,4.219714526,14.13588167,15.67289463,50,0.009265135,0.582352974,0.294886332,-0.037107293,-0.2025922,0.523129165,sp,ads
