speaker,vowel,f1,f2,f3,duration,df1_off,df2_off,df3_off,df1_on,df2_on,df3_on,language,register
s01,ah,4.953863636,12.11622642,16.11015289,44.073,0.086903571,-0.203199727,16.4726933,-0.596099765,0.136117418,-0.123512345,en,ads
s01,ah,8.05329171,11.56902576,15.878654,141.033,1.192212627,0.082832062,16.25245465,-2.132687293,-1.849882989,0.213753912,en,ads
s01,eh,5.294536741,13.51023086,16.10030221,56.277,0.126469244,0.48309341,16.45328612,0.083474396,-0.28877957,-0.097556267,en,ads
s01,eh,5.235706848,13.72982087,15.96643768,71.872,-0.290896627,-0.101091232,16.30857623,0.108994347,-0.392579495,0.192684042,en,ads
s01,ah,6.904041298,12.58859823,16.35787009,43.633,0.881404444,3.375048374,16.76243155,0.099509693,-0.411550456,-0.024415614,en,ads
s01,ih,4.228971884,13.68771627,15.92987197,87.467,-0.228935093,-0.459381397,16.26774663,-0.559815258,-0.149617338,-0.113352657,en,ads
s01,ah,5.833463035,11.32621514,15.2056902,153.916,-0.970035853,-0.180773896,15.57920971,1.759623736,0.35317358,0.151923601,en,ads
s01,ah,5.485540166,12.02400434,15.40508278,40,-0.155182536,0.069958539,15.77255974,-0.874653568,-0.405723091,-0.134427009,en,ads
s01,ah,4.256697402,12.10093902,14.36174189,44.751,-0.671169319,-0.240705545,14.72398217,0.380963225,0.240705545,-0.746866018,en,ads
s01,eh,4.284353286,13.88084946,14.31833371,41.361,-0.308647127,0.142042775,14.66171459,-0.289170928,-1.88396987,0.097227362,en,ads
s01,ah,4.927866721,12.76814605,16.14545805,51.531,0.801155085,0.003475271,16.501985350000002,-1.268443561,-0.122707548,-0.310220525,en,ads
s01,ah,4.108016878,12.83039672,16.22111792,61.702,0.075095624,-0.071904702,16.57578703,-0.207744305,-0.027596006,0.032627551,en,ads
s01,ah,8.357899045,12.9599493,15.8848269,109.844,1.663288534,-0.261501989,16.23518812,-0.918917331,-0.410704464,0.089701435,en,ads
s01,iy,4.023498518,15.18230201,16.45618246,50.175,0.247823999,0.140026557,16.78199271,0.389002523,-0.72403429,-0.21776473,en,ads
s01,iy,5.427777778,13.37855144,15.12813243,50,-0.237235953,0.894193337,15.48844508,-0.560817713,1.143202871,0.516854417,en,ads
s01,ah,7.646099291,13.33724138,15.49215356,37.971,-0.438748355,-0.747910628,15.83086347,-2.070433412,-0.607421885,-0.270150195,en,ads
s01,ae,5.681176009,13.1068739,15.75785342,57.398,1.461461484,0.579190051,16.11758093,1.958313171,0.350383295,-0.332552866,en,ads
s01,ah,6.694610511,12.36379237,15.74519647,74.12,0.087991267,0.583681998,16.11502407,-0.989238545,-0.444983955,-0.797437144,en,ads
s01,ah,6.458196907,11.2664,16.2671189,52.888,0.793183176,0.542231853,16.65122586,-0.53759249,-0.505478559,0.03233029,en,ads
s01,ah,6.825131433,11.74803097,16.23841773,185.784,0.255409002,0.655198604,16.61753756,0.408982377,0.111661672,-0.142061144,en,ads
s01,aa,5.35303863,11.61828125,15.12813243,114.589,-1.007476912,-0.30837267,15.49597955,0.083010557,1.6581057830000001,1.240966026,en,ads
s01,iy,4.219714526,14.57674833,15.13049862,88.909,0.177378512,0.036605345,15.46307481,0.24725102,-3.349054259,-0.587733376,en,ads
s01,ah,5.857302759,12.94981228,14.91098226,68.483,0.159989794,0.586019905,15.272923370000001,-0.224689793,0.692477284,1.369474449,en,ads
s01,eh,5.057221325,13.02044915,14.38871238,122.726,0,-0.40544125600000003,14.73631479,0.712396162,-0.938665853,0.268283861,en,ads
s01,iy,4.311939799,14.45028366,15.556,76.619,-0.027517403,-0.100341344,15.88843492,0.502537325,-5.976993246,-1.140438925,en,ads
s01,aa,6.904041298,12.13528937,15.53626661,81.365,1.812589685,-0.232187466,15.89815795,0.702326861,-1.202135162,-0.332910794,en,ads
s01,ah,6.223664122,12.65251037,15.57784114,76.619,0.779350086,0.483036689,15.94240729,-0.771091788,0.119109164,0.315204916,en,ads
s01,ah,5.526603476,11.88734045,15.67717514,39.327,1.086836227,-0.113420415,16.04402084,-0.12367936,-0.55261918,-0.08192504,en,ads
s01,iy,3.947828304,14.30197401,15.14939208,38.648,0.22044633,0.699320214,15.49460962,0.188218893,-0.099105708,-0.669886127,en,ads
s01,ih,5.176546185,13.42274529,13.89254125,55.6,0.085094572,1.219252121,14.2566478,-0.441277632,0.357825595,2.094099294,en,ads
s01,ih,4.00462908,12.76119372,16.28426099,46.495,1.099895984,-0.058867753,16.64004041,0.54352642,0.065759682,-0.231508942,en,ads
s01,ih,5.673098039,12.87841877,16.22881408,85.434,0.893752704,-0.34951963,16.57908774,-0.081129535,0.034092041,-0.015404116,en,ads
s01,ah,6.208342246,12.85445069,16.40077458,114.589,0.640837319,0.024053966,16.75641447,-0.511029281,0.593412558,0.059079651,en,ads
s01,uw,4.512145816,9.838322904,15.35079867,94.248,0.154381945,0.804007183,15.75778913,0.018019747,4.787740525,0.172271955,en,ads
s01,ah,5.099991939,12.13528937,16.31270106,56.278,0.515945696,-0.206355195,16.67494134,-0.068515999,-0.161741859,-0.041767729,en,ads
s01,ah,5.983514871,12.64189982,16.12194858,42.038,0.229921121,-0.007075538,16.4800381,-0.286201905,0.27401066,0.106865499,en,ads
s01,ih,5.402924116,13.79245247,15.66003234,64.414,1.42665926,-0.044355485,16.00209136,0.358684631,-0.42341070200000003,0.112549147,en,ads
s01,ah,3.522269381,13.08371673,16.02280695,40.683,1.041001265,0.431206352,16.38084873,0.585747497,0.075783899,0.065649219,en,ads
s01,ah,4.256697402,12.32684015,15.91966877,44.763,1.54064359,-0.884868382,16.27016147,-0.129985766,0.602651721,0.087095649,en,ads
s01,ae,7.268567294,12.74726758,16.15522158,82.194,0.595880727,-0.110612372,16.51049041,0.554249707,-0.108908283,0.013637377,en,ads
s01,ih,5.665013731,13.99965412,15.50984218,60,1.334721333,-0.324122895,15.84533484,0.247699447,-0.929206664,-2.112313375,en,ads
s01,eh,5.705371966,13.93618981,16.40819838,81.366,-0.040200524,-0.373969648,16.74387462,0.056236781,0.060593739,-0.082280597,en,ads
s01,iy,3.492662619,13.82501067,15.71342047,35.258,0.422733291,0.134277556,16.05744982,0.511966461,-0.909100188,-0.921745788,en,ads
s01,eh,6.745576208,13.18239282,15.96846154,138.321,1.056328559,-0.032564911,16.31891039,-0.25006416,-0.362331346,-0.191679608,en,ads
s01,uh,4.117368199,10.85657763,16.27474486,30.512,0.595098818,-0.802498604,16.64620841,0.974083414,0.067607053,-0.011443296,en,ads
s01,ah,5.665013731,12.43346509,16.24033626,38.648,-0.9047087,0.835666818,16.61262815,0.088580019,0.919696046,0.036313271,en,ads
s01,ah,6.510398796,10.73797101,15.92987197,82.721,0.926578394,0.134462661,16.31561157,-1.890580165,0.359249442,-0.1154366,en,ads
s01,ah,5.600110193,12.15050282,15.878654,35.936,0.28046121,-0.116803843,16.24189846,-0.500118254,-0.007602635,0.138142877,en,ads
s01,iy,3.909799915,14.49274114,15.92171102,52.21,-0.094829165000000007,2.605400685,16.29008941,-0.230918194,0.210347647,0.303256451,en,ads
