word,count,pronunciation
everything's,39,EH V R IY TH IH NG Z
colored,39,K AH L ER D
chicks,39,CH IH K S
shows,39,SH OW Z
lobster,38,L AA B S T ER
mashed,38,M AE SH T
yah,38,Y AA
crunch,38,K R AH N CH
maggie,38,M AE G IY
dracula,38,D R AE K Y UW L AH
awesome,38,AO S AH M
bum,38,B AH M
sore,38,S AO R
po,38,P OW
bud,38,B AH D
keith,38,K IY TH
pond,38,P AA N D
jeffrey,38,JH EH F R IY
that'd,38,DH AE T IH D
disappeared,38,D IH S AH P IH R D
plug,38,P L AH G
bricks,38,B R IH K S
lions,38,L AY AH N Z
cloth,38,K L AO TH
wore,38,W AO R
bumble,38,B AH M B AH L
jenny's,38,JH EH N IY Z
ways,38,W EY Z
fridge,38,F R IH JH
fan,38,F AE N
barrette,38,B ER EH T
dots,38,D AA T S
kathy,38,K AE TH IY
jesse,38,JH EH S IY
man's,38,M AE N Z
celery,38,S EH L ER IY
chalk,38,CH AA K
seeing,38,S IY IH NG
attach,38,AH T AE CH
pilot,38,P AY L AH T
frozen,38,F R OW Z AH N
burn,38,B ER N
seconds,38,S EH K AH N D Z
field,38,F IY L D
pens,38,P EH N Z
scooter,37,S K UW T ER
hamster,37,HH AE M S T ER
states,37,S T EY T S
figured,37,F IH G Y ER D
eater,37,IY T ER
ben,37,B EH N
earlier,37,ER L IY ER
worse,37,W ER S
vacuum,37,V AE K Y UW M
puff,37,P AH F
swallow,37,S W AA L OW
faces,37,F EY S AH Z
crashed,37,K R AE SH T
goodnight,37,G UH D N AY T
spanish,37,S P AE N IH SH
throat,37,TH R OW T
oliver,37,AA L AH V ER
staying,37,S T EY IH NG
stepped,37,S T EH P T
teeny,37,T IY N IY
arrow,37,AE R OW
mustache,37,M AH S T AE SH
machines,37,M AH SH IY N Z
messed,37,M EH S T
feeding,37,F IY D IH NG
henry,37,HH EH N R IY
muscles,37,M AH S AH L Z
taxi,37,T AE K S IY
lily's,37,L IH L IY Z
marie,37,M ER IY
stone,36,S T OW N
whoosh,36,W UW SH
granola,36,G R AH N OW L AH
rules,36,R UW L Z
sixty,36,S IH K S T IY
carol,36,K AE R AH L
freezing,36,F R IY Z IH NG
breaking,36,B R EY K IH NG
walls,36,W AO L Z
twice,36,T W AY S
guy's,36,G AY Z
doggies,36,D AO G IY Z
disgusting,36,D IH S G AH S T IH NG
rejoice,36,R IH JH OY S
load,36,L OW D
tied,36,T AY D
bells,36,B EH L Z
crystal,36,K R IH S T AH L
club,36,K L AH B
carpet,36,K AA R P AH T
blueberries,36,B L UW B EH R IY Z
sings,36,S IH NG Z
bein,36,B IY N
meeting,36,M IY T IH NG
loved,36,L AH V D
fancy,36,F AE N S IY
hip,36,HH IH P
ginny,36,JH IH N IY
beaver,36,B IY V ER
towards,36,T AH W AO R D Z
cave,36,K EY V
woods,36,W UH D Z
robot,36,R OW B AA T
jar,36,JH AA R
dora,36,D AO R AH
sandbox,36,S AE N D B AA K S
costume,36,K AA S T UW M
feathers,36,F EH DH ER Z
grandmother,36,G R AE N D M AH DH ER
usher,36,AH SH ER
roy,36,R OY
cuckoo,35,K AH K UW
dandelion,35,D AE N D AH L AY AH N
neither,35,N IY DH ER
calendar,35,K AE L AH N D ER
themselves,35,DH EH M S EH L V Z
enjoy,35,EH N JH OY
policeman's,35,P AH L IY S M AH N Z
hardly,35,HH AA R D L IY
monique,35,M OW N IY K
south,35,S AW TH
yo,35,Y OW
porridge,35,P AO R AH JH
raccoon,35,R AE K UW N
mommies,35,M AA M IY Z
rosie,35,R OW Z IY
swings,35,S W IH NG Z
dried,35,D R AY D
cousins,35,K AH Z AH N Z
grumpy,35,G R AH M P IY
picks,35,P IH K S
vegetable,35,V EH JH T AH B AH L
noodle,35,N UW D AH L
crawling,35,K R AO L IH NG
team,35,T IY M
rolled,35,R OW L D
rained,35,R EY N D
eraser,35,IH R EY S ER
goldfish,35,G OW L D F IH SH
scream,35,S K R IY M
t's,35,T IY Z
mittens,35,M IH T AH N Z
wife,35,W AY F
foods,35,F UW D Z
flashlight,35,F L AE SH L AY T
horrible,35,HH AO R AH B AH L
flavor,35,F L EY V ER
camping,34,K AE M P IH NG
recognize,34,R EH K AH G N AY Z
spy,34,S P AY
texas,34,T EH K S AH S
drums,34,D R AH M Z
forward,34,F AO R W ER D
ticklish,34,T IH K AH L IH SH
dolly's,34,D AA L IY Z
insects,34,IH N S EH K T S
jen,34,JH EH N
mixing,34,M IH K S IH NG
cart,34,K AA R T
dino,34,D IY N OW
julie,34,JH UW L IY
finding,34,F AY N D IH NG
goats,34,G OW T S
ridiculous,34,R IH D IH K Y AH L AH S
breath,34,B R EH TH
begin,34,B IH G IH N
bars,34,B AA R Z
ribbon,34,R IH B AH N
buckle,34,B AH K AH L
yell,34,Y EH L
drinks,34,D R IH NG K S
memory,34,M EH M ER IY
instrument,34,IH N S T R AH M AH N T
chili,34,CH IH L IY
paddington,34,P AE D IH NG T AH N
lollipop,34,L AA L IY P AA P
roared,34,R AO R D
screaming,34,S K R IY M IH NG
pretzel,34,P R EH T Z AH L
rush,34,R AH SH
wooden,34,W UH D AH N
trailer,34,T R EY L ER
gail,34,G EY L
chasing,34,CH EY S IH NG
wedding,34,W EH D IH NG
began,34,B IH G AE N
nails,33,N EY L Z
giddy,33,G IH D IY
shaped,33,SH EY P T
den,33,D EH N
tee,33,T IY
chewing,33,CH UW IH NG
cakes,33,K EY K S
biscuit,33,B IH S K AH T
max's,33,M AE K S IH Z
bull,33,B UH L
eric's,33,EH R IH K S
favor,33,F EY V ER
bacon,33,B EY K AH N
untie,33,AH N T AY
deedee,33,D IY D IY
steak,33,S T EY K
business,33,B IH Z N AH S
sharing,33,SH EH R IH NG
rat,33,R AE T
pirates,33,P AY R AH T S
sandwiches,33,S AE N D W IH CH IH Z
art,33,AA R T
date,33,D EY T
following,33,F AA L OW IH NG
wrist,33,R IH S T
news,33,N UW Z
kicking,33,K IH K IH NG
gloves,33,G L AH V Z
babe,33,B EY B
bouncy,33,B AW N S IY
straighten,33,S T R EY T AH N
alice,33,AE L IH S
shadow,33,SH AE D OW
meal,32,M IY L
completely,32,K AH M P L IY T L IY
skirt,32,S K ER T
hose,32,HH OW Z
held,32,HH EH L D
sprouts,32,S P R AW T S
nother,32,N AH DH ER
darth,32,D AA R TH
large,32,L AA R JH
cheek,32,CH IY K
how're,32,HH AW ER
kimberly,32,K IH M B ER L IY
jimmy,32,JH IH M IY
baa,32,B IY EY EY
doughnut,32,D OW N AH T
florida,32,F L AO R AH D AH
army,32,AA R M IY
salami,32,S AH L AA M IY
channel,32,CH AE N AH L
quietly,32,K W AY AH T L IY
tripod,32,T R AY P AA D
stripes,32,S T R AY P S
striped,32,S T R AY P T
grasshopper,32,G R AE S HH AA P ER
cape,32,K EY P
snip,32,S N IH P
cabinet,32,K AE B AH N AH T
tweet,32,T W IY T
maine,32,M EY N
talks,32,T AO K S
coke,32,K OW K
pail,32,P EY L
honk,32,HH AO NG K
jim,32,JH IH M
friendly,32,F R EH N D L IY
carle,32,K AA R AH L
builder,32,B IH L D ER
expensive,32,IH K S P EH N S IH V
blew,32,B L UW
jesus,32,JH IY Z AH S
candles,32,K AE N D AH L Z
paints,32,P EY N T S
rolls,32,R OW L Z
yelling,32,Y EH L IH NG
skip,32,S K IH P
curious,31,K Y UH R IY AH S
nail,31,N EY L
direction,31,D ER EH K SH AH N
peach,31,P IY CH
keeping,31,K IY P IH NG
heads,31,HH EH D Z
doreen,31,D AO R IY N
aquarium,31,AH K W EH R IY AH M
matt,31,M AE T
logs,31,L AO G Z
thick,31,TH IH K
whine,31,W AY N
ache,31,EY K
bonk,31,B AA NG K
garlic,31,G AA R L IH K
bing,31,B IH NG
sudden,31,S AH D AH N
butterflies,31,B AH T ER F L AY Z
walrus,31,W AO L R AH S
tommy,31,T AA M IY
journey,31,JH ER N IY
chi's,31,K AY Z
junior,31,JH UW N Y ER
nibble,31,N IH B AH L
pound,31,P AW N D
blueberry,31,B L UW B EH R IY
brave,31,B R EY V
olives,31,AA L IH V Z
bah,31,B AA
moose,31,M UW S
wrapped,31,R AE P T
factory,31,F AE K T ER IY
ponies,31,P OW N IY Z
rachel's,31,R EY CH AH L Z
yikes,31,Y AY K S
stinky,31,S T IH NG K IY
porcupine,31,P AO R K Y AH P AY N
chantilly,31,SH AE N T IH L IY
engineer,30,EH N JH AH N IH R
georgie,30,JH AO R JH IY
mushrooms,30,M AH SH R UW M Z
language,30,L AE NG G W AH JH
someday,30,S AH M D EY
buildings,30,B IH L D IH NG Z
scratchy,30,S K R AE CH IY
lower,30,L OW ER
pliers,30,P L AY ER Z
scratched,30,S K R AE CH T
infinity,30,IH N F IH N IH T IY
something's,30,S AH M TH IH NG Z
goody,30,G UH D IY
math,30,M AE TH
college,30,K AA L IH JH
sounded,30,S AW N D IH D
amen,30,EY M EH N
ann,30,AE N
waste,30,W EY S T
buzz,30,B AH Z
saved,30,S EY V D
observer,30,AH B Z ER V ER
x,30,EH K S
scrambled,30,S K R AE M B AH L D
powder,30,P AW D ER
doctor's,30,D AA K T ER Z
covers,30,K AH V ER Z
crunchy,30,K R AH N CH IY
return,30,R IH T ER N
sidewalk,30,S AY D W AO K
itchy,30,IH CH IY
donna,30,D AA N AH
indians,30,IH N D IY AH N Z
base,30,B EY S
muffins,30,M AH F AH N Z
else's,30,EH L S IH Z
tricky,30,T R IH K IY
sang,30,S AE NG
grand,30,G R AE N D
scoop,30,S K UW P
tent,30,T EH N T
wendy,30,W EH N D IY
cans,30,K AE N Z
cruz,30,K R UW Z
landed,30,L AE N D AH D
sponge,30,S P AH N JH
papers,30,P EY P ER Z
million,30,M IH L Y AH N
ants,30,AE N T S
winnie,30,W IH N IY
cottage,30,K AA T AH JH
timmy,30,T IH M IY
rum,29,R AH M
rabbits,29,R AE B AH T S
inches,29,IH N CH AH Z
wicked,29,W IH K AH D
losing,29,L UW Z IH NG
bird's,29,B ER D Z
steve,29,S T IY V
spout,29,S P AW T
wallet,29,W AO L AH T
airplanes,29,EH R P L EY N Z
giggle,29,G IH G AH L
baths,29,B AE TH S
diet,29,D AY AH T
digger,29,D IH G ER
nasty,29,N AE S T IY
hooked,29,HH UH K T
grown,29,G R OW N
crowded,29,K R AW D AH D
ideas,29,AY D IY AH Z
pole,29,P OW L
stops,29,S T AA P S
thin,29,TH IH N
bothering,29,B AA DH ER IH NG
scarf,29,S K AA R F
envelope,29,EH N V AH L OW P
juicy,29,JH UW S IY
parrot,29,P EH R AH T
spencer,29,S P EH N S ER
rhinoceros,29,R AY N AA S ER AH S
hint,29,HH IH N T
anne,29,AE N
lean,29,L IY N
quarters,29,K W AO R T ER Z
squeaky,29,S K W IY K IY
horns,29,HH AO R N Z
it'd,29,IH T AH D
husband,29,HH AH Z B AH N D
fry,29,F R AY
address,29,AE D R EH S
become,29,B IH K AH M
lately,29,L EY T L IY
evening,29,IY V N IH NG
yea,29,Y EY
popping,29,P AA P IH NG
humpty,29,HH AH M P T IY
michael's,29,M AY K AH L Z
should've,29,SH UH D AH V
silver,29,S IH L V ER
eddie,29,EH D IY
sew,29,S OW
stage,29,S T EY JH
jerry,29,JH EH R IY
peck,29,P EH K
gotcha,28,G AA CH AH
racing,28,R EY S IH NG
heather,28,HH EH DH ER
hung,28,HH AH NG
sideways,28,S AY D W EY Z
shaking,28,SH EY K IH NG
ink,28,IH NG K
drove,28,D R OW V
harry,28,HH EH R IY
th,28,T IY EY CH
dare,28,D EH R
tore,28,T AO R
's,28,EH S
bush,28,B UH SH
beauty,28,B Y UW T IY
torrence,28,T AO R AH N S
remind,28,R IY M AY N D
san,28,S AE N
nobody's,28,N OW B AA D IY Z
knocking,28,N AA K IH NG
furry,28,F ER IY
bunk,28,B AH NG K
louder,28,L AW D ER
remembered,28,R IH M EH M B ER D
q,28,K Y UW
lowly,28,L OW L IY
engines,28,EH N JH AH N Z
marry,28,M EH R IY
certain,28,S ER T AH N
rusty,28,R AH S T IY
beetle,28,B IY T AH L
cozy,28,K OW Z IY
bagels,28,B EY G AH L Z
temperature,28,T EH M P R AH CH ER
soy,28,S OY
spray,28,S P R EY
someone's,28,S AH M W AH N Z
breaks,28,B R EY K S
windy,28,W IH N D IY
cube,28,K Y UW B
possible,28,P AA S AH B AH L
ross's,28,R AA S IH Z
period,28,P IH R IY AH D
construction,28,K AH N S T R AH K SH AH N
alrighty,28,AO L R AY T IY
patricia,28,P AH T R IH SH AH
peg,28,P EH G
serve,28,S ER V
dressing,28,D R EH S IH NG
properly,27,P R AA P ER L IY
outfit,27,AW T F IH T
curtains,27,K ER T AH N Z
ghosts,27,G OW S T S
frederick,27,F R EH D R IH K
gorilla,27,G ER IH L AH
vase,27,V EY S
goldie,27,G OW L D IY
selling,27,S EH L IH NG
buster,27,B AH S T ER
checking,27,CH EH K IH NG
jeans,27,JH IY N Z
directions,27,D ER EH K SH AH N Z
stretch,27,S T R EH CH
goldilocks,27,G OW L D IY L AO K S
spinning,27,S P IH N IH NG
captain,27,K AE P T AH N
hunting,27,HH AH N T IH NG
bomber,27,B AA M ER
conversation,27,K AA N V ER S EY SH AH N
adam's,27,AE D AH M Z
lake,27,L EY K
leopard,27,L EH P ER D
further,27,F ER DH ER
brother's,27,B R AH DH ER Z
eggnog,27,EH G N AO G
laying,27,L EY IH NG
sunglasses,27,S AH N G L AE S IH Z
cromer's,27,K R OW M ER Z
marker,27,M AA R K ER
oy,27,OY
sleeves,27,S L IY V Z
bobbie,27,B AA B IY
beer,27,B IH R
doodle,27,D UW D AH L
teasing,27,T IY Z IH NG
cradle,27,K R EY D AH L
glove,27,G L AH V
tricks,27,T R IH K S
realize,27,R IY AH L AY Z
gloria,27,G L AO R IY AH
children's,27,CH IH L D R AH N Z
test,27,T EH S T
hadn't,27,HH AE D AH N T
blink,27,B L IH NG K
horse's,27,HH AO R S AH Z
lynette,27,L AY N EH T
groceries,27,G R OW S ER IY Z
donut,27,D OW N AH T
aha,27,AA HH AA
luck,27,L AH K
killed,27,K IH L D
william's,27,W IH L Y AH M Z
pluto,27,P L UW T OW
quietest,27,K W AY AH T AH S T
connie,27,K AO N IY
dice,26,D AY S
sara,26,S EH R AH
kate,26,K EY T
berries,26,B EH R IY Z
michelle,26,M IH SH EH L
duckling,26,D AH K L IH NG
pots,26,P AA T S
feeder,26,F IY D ER
guns,26,G AH N Z
shouted,26,SH AW T AH D
spilling,26,S P IH L IH NG
owe,26,OW
dining,26,D AY N IH NG
someplace,26,S AH M P L EY S
shining,26,SH AY N IH NG
seats,26,S IY T S
energy,26,EH N ER JH IY
germs,26,JH ER M Z
amount,26,AH M AW N T
kindergarten,26,K IH N D ER G AA R T AH N
drag,26,D R AE G
knot,26,N AA T
who're,26,HH UW ER
hula,26,HH UW L AH
reminds,26,R IY M AY N D Z
shells,26,SH EH L Z
burger,26,B ER G ER
sour,26,S AW ER
rule,26,R UW L
eaters,26,IY T ER Z
ramp,26,R AE M P
scrape,26,S K R EY P
lassie,26,L AE S IY
cow's,26,K AW Z
note,26,N OW T
shame,26,SH EY M
fuzz,26,F AH Z
pea,26,P IY
borrow,26,B AA R OW
burp,26,B ER P
crooked,26,K R UH K AH D
wheelbarrow,26,W IY L B EH R OW
fool,26,F UW L
hugs,26,HH AH G Z
tahoe,26,T AE HH OW
chilly,26,CH IH L IY
web,26,W EH B
dumbo,26,D AH M B OW
pitcher,26,P IH CH ER
fantastic,26,F AE N T AE S T IH K
landing,26,L AE N D IH NG
squid,26,S K W IH D
west,26,W EH S T
statue,26,S T AE CH UW
pow,26,P AW
shore,26,SH AO R
chops,26,CH AA P S
yawn,26,Y AO N
bubba,26,B AH B AH
vitamins,26,V AY T AH M AH N Z
container,26,K AH N T EY N ER
ian,26,IY AH N
bowls,26,B OW L Z
spanking,26,S P AE NG K IH NG
biting,26,B AY T IH NG
grabbed,25,G R AE B D
seek,25,S IY K
snacks,25,S N AE K S
trail,25,T R EY L
grammy,25,G R AE M IY
swiss,25,S W IH S
emily,25,EH M IH L IY
sneeze,25,S N IY Z
jake,25,JH EY K
human,25,HH Y UW M AH N
float,25,F L OW T
emmitt,25,EH M IH T
sofa,25,S OW F AH
aimee,25,EY M IY
log,25,L AO G
wax,25,W AE K S
gasped,25,G AE S P T
must've,25,M AH S T IH V
mask,25,M AE S K
barber,25,B AA R B ER
although,25,AO L DH OW
dripped,25,D R IH P T
bandaid,25,B AE N D EY D
tow,25,T OW
why're,25,W AY ER
everyone's,25,EH V R IY W AH N Z
wanda,25,W AA N D AH
hearts,25,HH AA R T S
fireplace,25,F AY ER P L EY S
dan,25,D AE N
rinse,25,R IH N S
flute,25,F L UW T
acting,25,AE K T IH NG
arrived,25,ER AY V D
mop,25,M AA P
grows,25,G R OW Z
undo,25,AH N D UW
simba,25,S IH M B AH
heaven,25,HH EH V AH N
scribble,25,S K R IH B AH L
pudding,25,P UH D IH NG
suck,25,S AH K
holy,25,HH OW L IY
afterwards,25,AE F T ER W ER D Z
united,25,Y UW N AY T AH D
brushes,25,B R AH SH IH Z
september,25,S EH P T EH M B ER
peace,25,P IY S
virginia,25,V ER JH IH N Y AH
ballet,25,B AE L EY
climbs,25,K L AY M Z
suitcases,25,S UW T K EY S IH Z
thanksgiving,25,TH AE NG K S G IH V IH NG
plop,25,P L AA P
buggy,25,B AH G IY
gracious,25,G R EY SH AH S
hominy,25,HH AA M IH N IY
amy,25,EY M IY
raincoat,25,R EY N K OW T
female,25,F IY M EY L
whisper,25,W IH S P ER
banjo,25,B AE N JH OW
china,25,CH AY N AH
banging,25,B AE NG IH NG
outdoors,25,AW T D AO R Z
pasta,25,P AA S T AH
spills,25,S P IH L Z
nickels,25,N IH K AH L Z
lizard,25,L IH Z ER D
written,25,R IH T AH N
medium,25,M IY D IY AH M
quarts,25,K W AO R T S
creature,25,K R IY CH ER
toothpaste,25,T UW TH P EY S T
wherever,25,W EH R EH V ER
tigers,25,T AY G ER Z
onion,25,AH N Y AH N
barbara,24,B AA R B ER AH
purpose,24,P ER P AH S
elliot,24,EH L IY AH T
caterpillars,24,K AE T AH P IH L ER Z
tiles,24,T AY L Z
swinging,24,S W IH NG IH NG
squares,24,S K W EH R Z
message,24,M EH S AH JH
wa,24,W AA
helpful,24,HH EH L P F AH L
granny,24,G R AE N IY
van,24,V AE N
single,24,S IH NG G AH L
hippos,24,HH IH P OW Z
patient,24,P EY SH AH N T
father's,24,F AA DH ER Z
lonely,24,L OW N L IY
capital,24,K AE P IH T AH L
july,24,JH UW L AY
younger,24,Y AH NG G ER
pouch,24,P AW CH
brand,24,B R AE N D
clunk,24,K L AH NG K
elephant's,24,EH L AH F AH N T S
balance,24,B AE L AH N S
spinach,24,S P IH N AH CH
sweeper,24,S W IY P ER
poured,24,P AO R D
nelson,24,N EH L S AH N
jane,24,JH EY N
wiping,24,W AY P IH NG
policemen,24,P AH L IY S M IH N
answered,24,AE N S ER D
sword,24,S AO R D
dresser,24,D R EH S ER
shave,24,SH EY V
crown,24,K R AW N
worth,24,W ER TH
merry,24,M EH R IY
cherries,24,CH EH R IY Z
butch,24,B UH CH
runny,24,R AH N IY
peppers,24,P EH P ER Z
dozen,24,D AH Z AH N
superman,24,S UW P ER M AH N
hills,24,HH IH L Z
subway,24,S AH B W EY
towers,24,T AW ER Z
sorts,24,S AO R T S
rose,24,R OW Z
bowling,24,B OW L IH NG
sister's,24,S IH S T ER Z
join,23,JH OY N
curls,23,K ER L Z
drip,23,D R IH P
tickets,23,T IH K AH T S
vim,23,V IH M
touched,23,T AH CH T
pineapple,23,P AY N AE P AH L
lamp,23,L AE M P
fifth,23,F IH F TH
washington,23,W AA SH IH NG T AH N
mitten,23,M IH T AH N
whispering,23,W IH S P ER IH NG
waffles,23,W AA F AH L Z
continue,23,K AH N T IH N Y UW
grasshoppers,23,G R AE S HH AA P ER Z
miriam,23,M IH R IY AH M
area,23,EH R IY AH
forks,23,F AO R K S
teapot,23,T IY P AA T
control,23,K AH N T R OW L
serious,23,S IH R IY AH S
english,23,IH NG G L IH SH
grain,23,G R EY N
women,23,W IH M AH N
penis,23,P IY N IH S
rhymes,23,R AY M Z
tornado,23,T AO R N EY D OW
branches,23,B R AE N CH AH Z
bernice,23,B ER N IY S
mam,23,M AA M
passengers,23,P AE S AH N JH ER Z
laughed,23,L AE F T
reindeer,23,R EY N D IH R
lilly,23,L IH L IY
leslie,23,L EH S L IY
vitamin,23,V AY T AH M AH N
whom,23,HH UW M
fake,23,F EY K
bathtub,23,B AE TH T AH B
bock,23,B AA K
ballerina,23,B AE L ER IY N AH
huckle,23,HH AH K AH L
split,23,S P L IH T
maggie's,23,M AE G IY Z
stratton,23,S T R AE T AH N
palace,23,P AE L AH S
bologna,23,B AH L OW N IY
storm,23,S T AO R M
adrienne,23,AA D R IY EH N
saucer,23,S AO S ER
wing,23,W IH NG
tops,23,T AA P S
burned,23,B ER N D
dumped,23,D AH M P T
goo,23,G UW
cloud,23,K L AW D
saddle,23,S AE D AH L
dripping,23,D R IH P IH NG
cafeteria,23,K AE F AH T IH R IY AH
cries,23,K R AY Z
pouring,23,P AO R IH NG
stella,23,S T EH L AH
blankets,23,B L AE NG K AH T S
shit,23,SH IH T
stocking,23,S T AA K IH NG
copy,22,K AA P IY
jackson,22,JH AE K S AH N
fed,22,F EH D
credit,22,K R EH D AH T
applesauce,22,AE P AH L S AO S
shine,22,SH AY N
mummy's,22,M AH M IY Z
cab,22,K AE B
cal,22,K AE L
avocado,22,AE V AH K AA D OW
meatballs,22,M IY T B AO L Z
forehead,22,F AO R HH EH D
babes,22,B EY B Z
yelled,22,Y EH L D
pickles,22,P IH K AH L Z
slides,22,S L AY D Z
design,22,D IH Z AY N
wiggly,22,W IH G AH L IY
spiderman,22,S P AY D ER M AE N
path,22,P AE TH
mcdonald's,22,M AH K D AA N AH L D Z
nights,22,N AY T S
tock,22,T AA K
wrestle,22,R EH S AH L
rag,22,R AE G
bored,22,B AO R D
easily,22,IY Z AH L IY
hugging,22,HH AH G IH NG
smallest,22,S M AO L AH S T
bin,22,B IH N
desert,22,D EH Z ER T
sharks,22,SH AA R K S
barking,22,B AA R K IH NG
pokey,22,P OW K IY
separate,22,S EH P ER EY T
bonnie,22,B AA N IY
whiskers,22,W IH S K ER Z
calm,22,K AA M
vigor,22,V IH G ER
taped,22,T EY P T
basement,22,B EY S M AH N T
massachusetts,22,M AE S AH CH UW S AH T S
tears,22,T EH R Z
marbles,22,M AA R B AH L Z
dumpty,22,D AH M P T IY
plugged,22,P L AH G D
pumpkins,22,P AH M P K AH N Z
robbers,22,R AA B ER Z
choke,22,CH OW K
laura,22,L AO R AH
telescope,22,T EH L AH S K OW P
service,22,S ER V AH S
situation,22,S IH CH UW EY SH AH N
wires,22,W AY ER Z
puffed,22,P AH F T
ladybugs,22,L EY D IY B AH G Z
joshua,22,JH AA SH UW AH
asks,22,AE S K S
cane,22,K EY N
frosting,22,F R AO S T IH NG
speaking,22,S P IY K IH NG
closing,22,K L OW Z IH NG
knocks,22,N AA K S
equipment,22,IH K W IH P M AH N T
bats,22,B AE T S
washcloth,22,W AA SH K L AO TH
shamu,22,SH AA M UW
eighty,22,EY T IY
blue's,22,B L UW Z
lambs,22,L AE M Z
brussels,22,B R AH S AH L Z
rory,22,R AO R IY
cotton,22,K AA T AH N
indeed,22,IH N D IY D
ay,22,EY
marching,22,M AA R CH IH NG
cubs,22,K AH B Z
brenda,22,B R EH N D AH
comfy,22,K AH M F IY
checked,21,CH EH K T
duckies,21,D AH K IH Z
wai,21,W AY
slinger,21,S L IH NG ER
invited,21,IH N V AY T AH D
slip,21,S L IH P
pulls,21,P UH L Z
anyways,21,EH N IY W EY Z
coats,21,K OW T S
cowboys,21,K AW B OY Z
nervous,21,N ER V AH S
recipe,21,R EH S AH P IY
towels,21,T AW AH L Z
flop,21,F L AA P
chuck,21,CH AH K
baker,21,B EY K ER
mothers,21,M AH DH ER Z
coconut,21,K OW K AH N AH T
knives,21,N AY V Z
chipmunk,21,CH IH P M AH NG K
telephones,21,T EH L AH F OW N Z
sting,21,S T IH NG
weiner,21,W AY N ER
brings,21,B R IH NG Z
elbows,21,EH L B OW Z
lola,21,L OW L AH
particular,21,P ER T IH K Y AH L ER
carey,21,K EH R IY
stethoscope,21,S T EH TH AH S K OW P
pup,21,P AH P
east,21,IY S T
greene,21,G R IY N
bushes,21,B UH SH AH Z
freeze,21,F R IY Z
jeep,21,JH IY P
healthy,21,HH EH L TH IY
cracked,21,K R AE K T
unhappy,21,AH N HH AE P IY
matching,21,M AE CH IH NG
dick,21,D IH K
dutch,21,D AH CH
lazy,21,L EY Z IY
dumptruck,21,D AH M P T R AH K
uhh,21,AH
dune,21,D UW N
pork,21,P AO R K
pushes,21,P UH SH AH Z
golden,21,G OW L D AH N
chain,21,CH EY N
schools,21,S K UW L Z
everytime,21,EH V R IY T AY M
paul's,21,P AO L Z
bozo,21,B OW Z OW
maker,21,M EY K ER
spitting,21,S P IH T IH NG
smiled,21,S M AY L D
squeezed,21,S K W IY Z D
turkeys,21,T ER K IY Z
bro's,21,B R OW Z
stores,21,S T AO R Z
fallin,21,F AE L IH N
catching,21,K AE CH IH NG
there'll,21,DH EH R AH L
sheet,21,SH IY T
antenna,21,AE N T EH N AH
hummus,21,HH UH M AH S
action,21,AE K SH AH N
car's,21,K AA R Z
nicer,21,N AY S ER
fingernail,21,F IH NG G ER N EY L
toddler,21,T AA D L ER
clever,21,K L EH V ER
sold,21,S OW L D
fallen,21,F AA L AH N
bouncing,20,B AW N S IH NG
izzy,20,IH Z IY
petey,20,P IY T IY
baking,20,B EY K IH NG
wars,20,W AO R Z
excused,20,IH K S K Y UW Z D
pets,20,P EH T S
valentines,20,V AE L AH N T AY N Z
relative,20,R EH L AH T IH V
dreaming,20,D R IY M IH NG
rhyme,20,R AY M
hamburgers,20,HH AE M B ER G ER Z
icing,20,AY S IH NG
slap,20,S L AE P
jennifer's,20,JH EH N AH F ER Z
war,20,W AO R
headlights,20,HH EH D L AY T S
ends,20,EH N D Z
daisy's,20,D EY Z IY Z
sailed,20,S EY L D
who'd,20,HH UW D
planning,20,P L AE N IH NG
carries,20,K AE R IY Z
mountains,20,M AW N T AH N Z
curtain,20,K ER T AH N
apparently,20,AH P EH R AH N T L IY
seaweed,20,S IY W IY D
ankle,20,AE NG K AH L
porch,20,P AO R CH
cinnamon,20,S IH N AH M AH N
lip,20,L IH P
teaching,20,T IY CH IH NG
eyeball,20,AY B AO L
theo,20,TH IY OW
dial,20,D AY AH L
pops,20,P AA P S
stands,20,S T AE N D Z
swallowed,20,S W AA L OW D
wool,20,W UH L
passed,20,P AE S T
lin,20,L IH N
mustn't,20,M AH S AH N T
gabby,20,G AE B IY
nemo,20,N EH M OW
stink,20,S T IH NG K
steam,20,S T IY M
male,20,M EY L
coughing,20,K AA F IH NG
windshield,20,W IH N D SH IY L D
why'd,20,W AY D
tumble,20,T AH M B AH L
slippery,20,S L IH P ER IY
driveway,20,D R AY V W EY
license,20,L AY S AH N S
das,20,D AE S
protect,20,P R AH T EH K T
cathy,20,K AE TH IY
elizabeth,20,IH L IH Z AH B AH TH
dolphin,20,D AA L F AH N
bitsy,20,B IH T S IY
waking,20,W EY K IH NG
cub,20,K AH B
cock,20,K AA K
toward,20,T AH W AO R D
american,20,AH M EH R IH K AH N
musical,20,M Y UW Z IH K AH L
nursing,20,N ER S IH NG
swamp,20,S W AA M P
gravy,20,G R EY V IY
renee,20,R AH N EY
exercise,20,EH K S ER S AY Z
when's,20,W EH N Z
han,20,HH AA N
fin,20,F IH N
breathe,20,B R IY DH
duke,20,D UW K
brain,20,B R EY N
sailboat,20,S EY L B OW T
frightened,20,F R AY T AH N D
trolley,20,T R AA L IY
