word,count,pronunciation
empty,174,EH M P T IY
spider,173,S P AY D ER
they'll,173,DH EH L
spill,172,S P IH L
climb,172,K L AY M
pooh,172,P UW
closed,171,K L OW Z D
visit,171,V IH Z IH T
father,171,F AA DH ER
lap,171,L AE P
late,170,L EY T
fork,170,F AO R K
played,169,P L EY D
frog,168,F R AA G
grass,168,G R AE S
bike,168,B AY K
middle,168,M IH D AH L
living,168,L IH V IH NG
hug,168,HH AH G
loud,168,L AW D
sis,168,S IH S
kinds,167,K AY N D Z
drinking,167,D R IH NG K IH NG
mind,167,M AY N D
spell,167,S P EH L
leaf,167,L IY F
tie,167,T AY
dough,166,D OW
dancing,166,D AE N S IH NG
missed,166,M IH S T
garbage,166,G AA R B IH JH
exactly,166,IH G Z AE K T L IY
afraid,166,AH F R EY D
dee,166,D IY
wish,165,W IH SH
most,165,M OW S T
whatever,165,W AH T EH V ER
woof,165,W UW F
fixed,165,F IH K S T
pour,164,P AO R
piggy,164,P IH G IY
trucks,164,T R AH K S
erin,163,EH R IH N
goodbye,163,G UH D B AY
track,163,T R AE K
waiting,162,W EY T IH NG
barn,162,B AA R N
bump,162,B AH M P
rice,162,R AY S
er,161,ER
m,161,EH M
straight,160,S T R EY T
flying,160,F L AY IH NG
gentle,159,JH EH N T AH L
lil,159,L IH L
pay,159,P EY
crayon,158,K R EY AA N
papa,158,P AA P AH
happening,158,HH AE P AH N IH NG
saturday,157,S AE T ER D IY
spaghetti,157,S P AH G EH T IY
pancakes,157,P AE N K EY K S
pat,157,P AE T
drop,156,D R AA P
holes,156,HH OW L Z
takes,156,T EY K S
boots,156,B UW T S
trouble,156,T R AH B AH L
meow,156,M IY AW
rocket,156,R AA K AH T
near,156,N IH R
course,155,K AO R S
record,155,R AH K AO R D
manuela,155,M AE N W EY L AH
string,155,S T R IH NG
dogs,155,D AA G Z
bears,155,B EH R Z
soft,154,S AA F T
oil,154,OY L
yuck,154,Y AH K
tight,154,T AY T
tummy,154,T AH M IY
ducks,153,D AH K S
soap,153,S OW P
gimme,153,G IH M IY
building,152,B IH L D IH NG
figure,152,F IH G Y ER
missing,152,M IH S IH NG
strawberry,151,S T R AO B EH R IY
glad,151,G L AE D
turning,151,T ER N IH NG
pipe,150,P AY P
medicine,150,M EH D AH S AH N
doggy,150,D AO G IY
swim,149,S W IH M
since,149,S IH N S
tongue,149,T AH NG
fence,149,F EH N S
wood,149,W UH D
cents,149,S EH N T S
reach,148,R IY CH
david,148,D EY V IH D
telling,148,T EH L IH NG
raisins,147,R EY Z AH N Z
jumped,147,JH AH M P T
giraffe,147,JH ER AE F
early,147,ER L IY
dis,147,D IH S
fifty,147,F IH F T IY
friday,146,F R AY D IY
bob,146,B AA B
mad,146,M AE D
joseph,146,JH OW S AH F
driver,145,D R AY V ER
towel,145,T AW AH L
floppy,145,F L AA P IY
clown,145,K L AW N
jumping,145,JH AH M P IH NG
melissa,145,M AH L IH S AH
nicole,145,N IH K OW L
pillow,145,P IH L OW
twelve,144,T W EH L V
weeks,144,W IY K S
teddy,144,T EH D IY
potty,143,P AA T IY
standing,143,S T AE N D IH NG
chairs,143,CH EH R Z
sweetheart,143,S W IY T HH AA R T
years,142,Y IH R Z
spot,142,S P AA T
grover,142,G R OW V ER
salad,142,S AE L AH D
lamb,141,L AE M
member,141,M EH M B ER
tools,141,T UW L Z
calling,141,K AO L IH NG
mirror,141,M IH R ER
everyone,141,EH V R IY W AH N
wind,141,W AY N D
himself,140,HH IH M S EH L F
chug,140,CH AH G
cowboy,140,K AW B OY
march,140,M AA R CH
clifford,139,K L IH F ER D
triangle,139,T R AY AE NG G AH L
donkey,139,D AA NG K IY
lay,139,L EY
flew,139,F L UW
singing,138,S IH NG IH NG
monday,138,M AH N D IY
dollar,138,D AA L ER
pizza,138,P IY T S AH
uncle,137,AH NG K AH L
weren't,137,W ER AH N T
tried,137,T R AY D
corner,137,K AO R N ER
eh,137,EH
umbrella,136,AH M B R EH L AH
macaroni,136,M AE K ER OW N IY
brian,136,B R AY AH N
wonderful,136,W AH N D ER F AH L
except,136,IH K S EH P T
smart,136,S M AA R T
yucky,136,Y AH K IY
ground,135,G R AW N D
strong,135,S T R AO NG
bee,135,B IY
hook,135,HH UH K
grandpa,135,G R AE N D P AA
clip,135,K L IH P
key,134,K IY
leaves,134,L IY V Z
rug,134,R AH G
dolly,134,D AA L IY
c,134,S IY
closet,134,K L AA Z AH T
world,133,W ER L D
santa,133,S AE N T AH
carl,133,K AA R L
til,133,T IH L
clock,133,K L AA K
sat,132,S AE T
pool,132,P UW L
sand,132,S AE N D
dinosaurs,132,D AY N AH S AO R Z
using,131,Y UW Z IH NG
balls,131,B AO L Z
fruit,131,F R UW T
easier,131,IY Z IY ER
share,130,SH EH R
stove,130,S T OW V
kick,130,K IH K
horses,130,HH AO R S AH Z
b,129,B IY
carrots,129,K AE R AH T S
bugs,129,B AH G Z
sea,129,S IY
picked,129,P IH K T
tony,129,T OW N IY
underneath,129,AH N D ER N IY TH
plane,129,P L EY N
body,129,B AA D IY
crash,129,K R AE SH
short,129,SH AO R T
tastes,128,T EY S T S
reason,128,R IY Z AH N
arms,128,AA R M Z
between,128,B IH T W IY N
magic,128,M AE JH IH K
raining,128,R EY N IH NG
myself,127,M AY S EH L F
pot,127,P AA T
card,127,K AA R D
rachel,127,R EY CH AH L
hurts,127,HH ER T S
eleven,127,IH L EH V AH N
worry,127,W ER IY
numbers,126,N AH M B ER Z
police,126,P AH L IY S
dishes,126,D IH SH AH Z
ernie,126,ER N IY
momma,126,M AA M AH
dragon,126,D R AE G AH N
lose,125,L UW Z
