speaker,vowel,f1,f2,f3,duration,df1_on,df2_on,df3_on,df1_off,df2_off,df3_off,language,register,z_f1,z_f2
s01,ih,335,2296,2301,97.639,83,-21,917,-72,1145,-22,en,ads,-1.3954947991084339,0.7848257719853983
s01,iy,343,2589,3062,136.286,120,-385,-345,27,-123,-4,en,ads,-1.3543778773337158,1.4722302376157979
s01,iy,309,2633,3066,54.921,7,58,-85,-9,15,-156,en,ads,-1.5291247948762676,1.575458211976677
s01,ah,943,2120,3099,114.589,-200,-39,99,452,-24,-115,en,ads,1.72939125577014,0.3719138745418819
s01,iy,278,2820,3256,191.887,98,-240,-64,-67,17,-99,en,ads,-1.6884528667533003,2.014177103010413
s01,ih,646,2452,3281,105.57,-70,52,-167,74,47,17,en,ads,0.20292553488373144,1.1508158629012424
s01,ah,491,1526,2871,80,-24,-364,114,78,-508,-328,en,ads,-0.5937148245014313,-1.0216637793299859
s01,ah,1008,1779,3026,270.755,-149,279,112,-12,-104,-25,en,ads,2.0634662451897245,-0.4281029267549311
s01,ah,672,1777,3553,18.307,11,-16,32,-3,-7,6,en,ads,0.3365555306515652,-0.4327951074076984
s01,ah,491,1680,2872,40.682,118,95,344,-115,-129,-178,en,ads,-0.5937148245014313,-0.6603658690669091
s01,ah,584,1267,3355,49.497,-19,-8,47,-22,-134,-139,en,ads,-0.11573060887033369,-1.6293011738633425
s01,ah,842,2088,3471,96.961,-93,-24,-97,112,-131,29,en,ads,1.2102901183643244,0.2968389840976062
s01,iy,394,2779,3333,137.642,132,-219,13,29,832,380,en,ads,-1.092257501019888,1.917987399628685
s01,eh,446,1846,2595,84.755,-41,-231,46,-43,90,127,en,ads,-0.8249975094842206,-0.2709148748872289
s01,iy,574,2646,3448,187.818,45,-124,-39,-11,-101,153,en,ads,-0.16712676108873128,1.6059573862196639
s01,eh,759,2086,3071,82.043,17,-34,31,152,-95,-173,en,ads,0.7837020549516243,0.29214680344483895
s01,ih,621,1799,3363,94.926,-19,288,11,-181,242,24,en,ads,0.07443515433773742,-0.3811811202272588
s01,iy,597,2865,3334,160.019,26,-116,-11,-8,-71,-20,en,ads,-0.04891561098641681,2.1197511676976757
s01,ah,811,1958,3107,57.634,-109,-39,-75,44,36,9,en,ads,1.0509620464872917,-0.008152758332263877
s01,eh,828,2048,2852,60.346,-59,-56,63,66,-13,228,en,ads,1.1383355052585677,0.20299537104226156
s01,ih,594,2336,3289,84.779,32,20,-84,16,-9,23,en,ads,-0.06433445665193609,0.878669385040743
s01,ah,599,1726,3045,46.861,-15,177,-0.9,-40,-58,-32,en,ads,-0.03863638054273729,-0.5524457140532628
s01,ih,506,2034,2650,37.97,-44,22,-372,12,106,150,en,ads,-0.5166205961738349,0.17015010647289094
s01,iy,316,1964,2914,33.902,-66,241,24,-2,361,34,en,ads,-1.4931474883233893,0.005923783626037817
s01,ah,551,1638,3213,27.8,53,-47,-9,66,7,-117,en,ads,-0.2853379111910458,-0.758901662775021
s01,ah,842,1684,3034,51.531,-301,-175,59,197,20,-20,en,ads,1.2102901183643244,-0.6509815077613746
s01,ih,444,2462,2556,91.535,-24,-146,508,70,171,37,en,ads,-0.8352767399279001,1.1742767661650786
s01,iy,379,2555,3086,94.248,92,-313,-482,58,-133,-57,en,ads,-1.1693517293474844,1.3924631665187548
s01,ah,569,1890,3206,48.141,10,-98,27,22,14,-11,en,ads,-0.1928248371979301,-0.16768690052634977
s01,ah,491,1943,2953,40.381,-17,115,127,32,21,48,en,ads,-0.5937148245014313,-0.043344113228018115
s01,ah,479,1996,2954,42.039,-30,-53,-70,93,-11,-56,en,ads,-0.6553902071635085,0.08099867407031353
s01,eh,556,1588,2382,78.418,-21,-143,-219,-21,-154,-224,en,ads,-0.25963983508184696,-0.8762061790942017
s01,ah,842,1992,2953,43.495,-163,-185,21,91,261,34,en,ads,1.2102901183643244,0.07161431276477906
s01,ah,505,1315,2541,40.004,-105,-37,94,18,-137,-19,en,ads,-0.5217602113956747,-1.516688838196929
s01,iy,506,2334,3144,56.956,-50,-173,113,128,183,145,en,ads,-0.5166205961738349,0.8739772043879758
s01,ah,343,1628,2841,23.054,37,-74,-164,-6,-58,18,en,ads,-1.3543778773337158,-0.7823625660388571
s01,iy,371,2334,3077,50.579,9,-77,38,40,300,112,en,ads,-1.2104686511222025,0.8739772043879758
s01,eh,357,1677,2892,31.868,419,274,181,-6,102,208,en,ads,-1.2824232642279592,-0.66740414004606
s01,ah,437,1829,2859,59.668,-59,-75,52,85,23,8,en,ads,-0.8712540464807784,-0.31079841043575035
s01,ah,883,2027,3084,42.039,92,92,-83,-290,64,-119,en,ads,1.4210143424597546,0.15372747418820562
s01,ah,1017,1892,2724,65.092,-114,148,285,578,-25,-129,en,ads,2.1097227821862825,-0.16299471987358252
s01,ah,343,1444,2660,56.099,-118,27,138,-40,-92,-275,en,ads,-1.3543778773337158,-1.2140431860934424
s01,ah,552,1653,2822,29.156,-83,110,217,105,138,92,en,ads,-0.28019829596920603,-0.7237103078792667
s01,ih,555,2220,3064,58.311,-90,44,-45,37,53,91,en,ads,-0.2647794503036867,0.6065229071802435
s01,ih,487,1996,3263,27.122,13,28,-112,36,6,-27,en,ads,-0.6142732853887904,0.08099867407031353
s01,iy,575,2218,3173,67.804,-116,-230,-243,-30,1,63,en,ads,-0.16198714586689153,0.6018307265274763
s01,ah,488,1811,2844,41.36,18,89,98,60,155,136,en,ads,-0.6091336701669506,-0.35302803631065544
s01,aa,471,1044,2353,65.77,382,603,569,17,-821,-985,en,ads,-0.6965071289382265,-2.1524793166468887
s01,ah,845,1793,2877,101.029,-292,-1004,-700,485,127,248,en,ads,1.2257089640298438,-0.3952576621855605
s01,ah,744,1724,3175,207.482,209,154,37,-75,222,-292,en,ads,0.7066078266240279,-0.55713789470603
s01,ah,686,2095,3376,63.058,40,-69,-93,58,-1,-105,en,ads,0.4085101437573218,0.3132616163822915
s01,ah,629,1345,2371,40.005,-81,707,160,-66,-738,-893,en,ads,0.1155520761124555,-1.4463061284054204
s01,ih,565,2234,3196,69.161,-83,79,-5,77,-50,-96,en,ads,-0.21338329808528914,0.6393681717496141
s01,ae,627,1854,3210,269.183,-12,-369,-1122,216,802,908,en,ads,0.10527284566877598,-0.25214615227615994
s01,ah,726,1783,2664,136.964,-33,-123,-493,75,-144,-476,en,ads,0.6140947526309122,-0.4187185654493967
s01,ih,482,1577,2007,74.426,24,-90,72,21,19,-99,en,ads,-0.6399713614979892,-0.9020131726844216
s01,iy,392,2943,3535,294.463,16,-61,-47,-58,277,179,en,ads,-1.1025367314635677,2.302746213155598
s01,ah,594,1803,2933,165.178,35,432,157,-169,-11,-168,en,ads,-0.06433445665193609,-0.37179675892172437
s01,uw,392,1714,2704,286.813,-4,558,63,29,553,-63,en,ads,-1.1025367314635677,-0.5805987979698661
s01,ah,638,2282,3043,73.907,137,-179,104,191,-280,332,en,ads,0.16180861310901334,0.7519805074160277
s01,iy,404,2754,3283,49.498,-4,27,59,26,288,144,en,ads,-1.0408613488014904,1.8593351414690944
s01,ah,592,1994,3424,96.87,-78,43,-45,194,52,1299,en,ads,-0.07461368709561561,0.07630649341754629
s01,ah,705,1457,2787,163.408,169,310,-25,184,-106,66,en,ads,0.5061628329722773,-1.1835440118504554
s01,ah,300,1932,3339,40.005,9,-77,-213,-488,-79,-21,en,ads,-1.5753813318728256,-0.0691511068182379
s01,ah,708,1725,2736,51.531,-120,-60,-775,-5,167,-23,en,ads,0.5215816786377966,-0.5547918043796464
s01,ah,824,1026,2653,56.278,-239,-26,-34,87,-345,-49,en,ads,1.1177770443712087,-2.194708942521794
