,speaker,vowel,f1,f2,f3,duration,df1_on,df2_on,df3_on,df1_off,df2_off,df3_off,language,register,learned_cats
5666,JoseAntonio,a,1034,1692,2645,167.216,-33.0,-36.0,318.0,9.0,68.0,17.0,sp,ids,2
5667,JoseAntonio,a,1125,1714,2564,233.7,-118.0,-87.0,-68.0,91.0,74.0,-288.0,sp,ids,1
5668,JoseAntonio,a,604,769,2592,134.702,-195.0,-150.0,-248.0,29.0,-153.0,-113.0,sp,ids,0
5669,JoseAntonio,i,330,1207,2844,66.157,45.0,-143.0,14.0,7.0,107.0,16.0,sp,ids,1
5670,JoseAntonio,i,380,1093,2594,44.126,22.0,128.0,91.0,-31.0,-87.0,104.0,sp,ids,0
5671,JoseAntonio,a,1108,1962,2939,320.609,-392.0,-398.0,-422.0,-373.0,15.0,-191.0,sp,ids,2
5672,JoseAntonio,i,446,922,2424,60.0,-22.0,62.0,94.0,-6.0,230.0,190.0,sp,ids,0
5673,JoseAntonio,a,206,1797,2075,120.0,1225.0,165.0,926.0,-769.0,39.0,-709.0,sp,ids,1
5674,JoseAntonio,i,445,968,2550,210.0,-66.0,10.0,-21.0,-3.0,63.0,35.0,sp,ids,2
5675,JoseAntonio,a,949,1825,2624,420.0,-43.0,120.0,180.0,226.0,632.0,503.0,sp,ids,2
5679,JoseAntonio,a,889,1877,3001,140.0,-5.0,-88.0,43.0,22.0,-150.0,-256.0,sp,ids,2
5683,JoseAntonio,i,464,2594,3212,70.0,-11.0,87.0,5.0,177.0,893.0,324.0,sp,ids,3
5685,JoseAntonio,i,467,885,2548,70.0,-14.0,52.0,-42.0,-32.0,191.0,145.0,sp,ids,0
5686,JoseAntonio,a,879,1998,3060,30.0,-169.0,-15.0,-46.0,55.0,-79.0,72.0,sp,ids,2
5688,JoseAntonio,a,817,1025,1708,520.0,-12.0,549.0,172.0,214.0,-330.0,-1101.0,sp,ids,2
5690,JoseAntonio,a,863,1280,2184,90.0,19.0,559.0,-19.0,334.0,-372.0,15.0,sp,ids,2
5693,JoseAntonio,a,612,1736,2695,90.0,242.0,-12.0,131.0,185.0,118.0,228.0,sp,ids,2
5699,JoseAntonio,a,892,1047,1783,413.394,-9.0,72.0,16.0,-4.0,142.0,8.0,sp,ids,2
5701,JoseAntonio,i,695,2455,2551,46.449,-49.0,-982.0,-114.0,62.0,255.0,-97.0,sp,ids,3
5702,JoseAntonio,a,818,1988,2280,49.932,-69.0,164.0,1236.0,16.0,933.0,137.0,sp,ids,2
5704,JoseAntonio,i,447,2019,2367,76.641,-45.0,162.0,319.0,-18.0,182.0,-165.0,sp,ids,3
5705,JoseAntonio,a,811,1681,2129,80.651,34.0,-77.0,406.0,199.0,71.0,24.0,sp,ids,2
5708,JoseAntonio,a,900,1582,2257,170.0,75.0,123.0,463.0,495.0,-83.0,-239.0,sp,ids,2
5709,JoseAntonio,i,341,1299,2606,80.0,5.0,58.0,-26.0,-0.8,3.0,76.0,sp,ids,0
5710,JoseAntonio,i,371,963,2549,60.0,-21.0,261.0,12.0,-3.0,94.0,140.0,sp,ids,0
5711,JoseAntonio,a,773,2007,3132,40.0,-15.0,-114.0,-578.0,18.0,165.0,434.0,sp,ids,2
5712,JoseAntonio,i,406,2250,2650,90.0,120.0,6.0,197.0,2.0,1687.0,400.0,sp,ids,3
5713,JoseAntonio,a,1072,1981,2854,50.0,22.0,76.0,-155.0,189.0,100.0,284.0,sp,ids,2
5714,JoseAntonio,a,808,1980,2677,70.0,76.0,-121.0,-242.0,333.0,504.0,53.0,sp,ids,2
5715,JoseAntonio,i,335,931,2883,120.767,95.0,-61.0,-83.0,-536.0,-1050.0,469.0,sp,ids,0
5716,JoseAntonio,i,407,2398,3122,83.608,80.0,8.0,-166.0,-393.0,7.0,-92.0,sp,ids,3
5718,JoseAntonio,i,301,645,2426,50.0,9.0,3.0,138.0,9.0,-1815.0,-763.0,sp,ids,0
5721,JoseAntonio,a,702,1219,1698,310.0,133.0,160.0,79.0,4.0,81.0,12.0,sp,ids,2
5725,JoseAntonio,a,391,1172,2253,111.477,23.0,22.0,-521.0,-2.0,5.0,21.0,sp,ids,0
5726,JoseAntonio,a,552,1001,1751,714.016,34.0,-123.0,79.0,-15.0,57.0,-70.0,sp,ids,0
5727,JoseAntonio,i,469,1125,2404,114.961,-61.0,144.0,35.0,-16.0,137.0,123.0,sp,ids,0
5728,JoseAntonio,a,666,842,1963,117.283,184.0,896.0,1531.0,-147.0,-901.0,-1283.0,sp,ids,0
5729,JoseAntonio,i,426,2448,3502,114.961,22.0,-91.0,-489.0,103.0,290.0,707.0,sp,ids,3
5730,JoseAntonio,a,931,1767,2500,64.577,237.0,143.0,714.0,-120.0,-12.0,-565.0,sp,ids,2
5731,JoseAntonio,a,1036,1800,3395,150.0,-112.0,-344.0,-533.0,121.0,804.0,619.0,sp,ids,2
5732,JoseAntonio,a,1016,1679,2490,360.0,-707.0,-635.0,-607.0,647.0,437.0,474.0,sp,ids,2
5737,JoseAntonio,a,975,1642,2344,160.0,-58.0,-97.0,-225.0,335.0,360.0,229.0,sp,ids,2
5738,JoseAntonio,i,523,965,2462,195.085,79.0,1410.0,546.0,-2.0,-776.0,462.0,sp,ids,0
5741,JoseAntonio,a,626,1349,2234,58.097,-18.0,-122.0,169.0,-25.0,-154.0,304.0,sp,ids,0
5743,JoseAntonio,a,467,1460,2829,65.633,110.0,163.0,-326.0,-218.0,-765.0,252.0,sp,ids,0
5745,JoseAntonio,a,1020,2095,2987,141.562,-92.0,-329.0,-418.0,397.0,354.0,-8.0,sp,ids,2
5748,JoseAntonio,a,954,1751,2540,120.0,-169.0,-280.0,-685.0,-161.0,-111.0,-157.0,sp,ids,2
5749,JoseAntonio,a,859,1444,1918,200.0,-35.0,35.0,-120.0,3.0,-62.0,-709.0,sp,ids,2
5750,JoseAntonio,a,797,1076,1902,200.0,183.0,491.0,316.0,-87.0,-442.0,-335.0,sp,ids,2
5752,JoseAntonio,a,1049,1319,1854,90.0,-173.0,63.0,117.0,-55.0,-729.0,-1013.0,sp,ids,2
5753,JoseAntonio,a,982,1651,2544,170.0,-45.0,68.0,110.0,79.0,286.0,-135.0,sp,ids,2
5754,JoseAntonio,a,987,1648,2554,350.0,-13.0,24.0,-44.0,-3.0,-90.0,-110.0,sp,ids,2
5756,JoseAntonio,i,441,804,2638,100.0,14.0,1747.0,635.0,-76.0,-1652.0,-658.0,sp,ids,0
5757,JoseAntonio,a,1075,1889,3269,40.0,-286.0,-1.0,-538.0,-28.0,-25.0,-56.0,sp,ids,2
5763,JoseAntonio,a,692,1720,2168,60.0,18.0,-941.0,-148.0,279.0,149.0,-383.0,sp,ids,2
5773,JoseAntonio,a,892,1847,3025,110.0,-25.0,-72.0,26.0,54.0,103.0,54.0,sp,ids,2
5774,JoseAntonio,i,247,1720,2843,30.0,12.0,26.0,-190.0,-690.0,-506.0,-284.0,sp,ids,1
5775,JoseAntonio,a,939,2188,2332,30.0,-125.0,-448.0,335.0,64.0,174.0,-243.0,sp,ids,2
5776,JoseAntonio,i,637,2245,3233,40.0,-100.0,-199.0,-288.0,-82.0,-32.0,-39.0,sp,ids,1
