f1,f2,vowel,learned_cat
534.063242601334,2063.8512601872003,eh,2
507.1174895647053,1234.698123216032,uw,1
756.3396106616342,1413.536538861016,aa,1
308.68596218819897,1137.377274820564,ah,0
858.806089813745,1575.5752664547283,aa,1
555.0359312843955,1561.7376760083275,ah,1
360.8803478325502,2136.739676513263,ih,1
567.1005605990379,2348.2428417521496,iy,2
509.42003803463996,1371.2457640100808,ah,0
548.1576446094743,1703.3242643436988,ih,2
636.471778670251,1138.260952918932,ah,1
498.72873956864163,1850.4553110852753,ih,2
658.2013334410078,1171.68662699179,ah,2
561.2751459526892,1779.8793089218998,ah,2
704.1607841793355,1613.8905127863788,ah,1
700.3769109350958,1464.5675608079218,ah,1
336.3539990657159,1814.108585401785,ih,1
439.66087325540377,1867.2221267903228,ih,2
497.46092201952365,2296.950121967395,ih,2
708.7411281036362,1408.901554832426,aa,2
467.17091265326934,2193.5320162236403,iy,2
763.2456091923824,1960.5722931134947,eh,1
505.3919535374474,2151.431809426089,ih,0
444.38885747848775,2609.019763240685,iy,2
508.35775458610135,2483.694243335626,ih,2
532.990809036638,1743.7894297756088,ah,2
398.31647744966784,2656.668458122796,iy,2
928.9208936488523,1926.512482666254,ae,1
613.3048955646791,1582.4837767334895,uh,2
459.6098663267887,2138.6666105598833,ih,0
460.3924323999325,1881.1268548320231,ih,1
394.0116551319375,1496.3869303939891,uw,0
345.85215700213945,2432.39607958093,uw,0
629.0233800900156,1762.4364663273354,ah,2
728.0825011839343,1485.7839820785084,eh,1
571.9622777334939,1820.8651770764347,ih,1
887.4338402684264,2045.7924068570585,ae,1
225.92173052342758,2654.563402593879,iy,2
390.6263437742495,1517.0641120595242,uw,1
710.0383935761357,1514.9677768531928,ah,1
698.8212583998634,1690.3728745120584,ae,1
483.5661273526723,1772.6979996602834,eh,2
389.14770574754954,2050.625889282809,ih,1
660.3115216931034,1628.9491312760097,ae,1
417.7004488670557,2163.5175036869477,ih,2
830.8220869521845,1760.0065932771188,ah,1
401.4552022219257,2086.0638603065913,uh,2
673.7937510179913,2114.986112304755,eh,1
663.7032672225807,1187.4066895788412,ah,1
301.0799539875619,2468.8174419745274,iy,0
428.01381858835356,1643.849691806653,uw,0
795.0273750053663,1842.9360907863766,ah,1
445.7313325463427,2409.6642851179618,iy,2
497.3173152217706,2769.0821755564534,iy,2
436.9521053857205,1824.3970468544437,uh,1
342.4289130312576,1977.3829580541417,uh,1
374.02487418603835,1285.3931312795194,ah,0
529.4078542001182,3003.101197451595,iy,2
549.1501326231396,1632.3336797468116,uh,2
898.9438073262075,1184.079534587738,aa,1
506.70755240704307,1538.494715460607,ah,1
632.506578436548,1515.747717495711,eh,1
474.9774073502015,1535.9144375957007,ah,0
1013.9870132458404,1275.0277390326478,aa,1
796.679825022719,1668.1497470956324,ae,1
426.7350962115117,2513.892120366245,uw,2
407.2905408798716,2571.819761201147,iy,2
673.9938239593534,1457.7555886790983,ah,2
576.1477157069183,1871.3436291043658,ah,1
640.7153150324635,2073.18809745217,ih,1
724.2392733440128,1679.3937853914674,eh,1
385.0281309320126,1310.630253158226,ih,0
514.5218405695151,1855.2629018248613,ih,2
749.8730308939107,1458.5504895800489,ah,1
517.4795339846002,1901.8588164768119,ih,1
458.8971981959169,2691.0785167303598,ih,2
701.6604133594578,1815.6295244415383,ae,2
578.0806062084321,1370.638014199126,ih,1
579.0209064036658,2291.1937259686733,ih,2
1038.0815902684774,1909.3100912583386,aa,1
689.998969426388,1137.5257228527958,ah,1
828.8711059717322,1664.1129406091636,eh,1
598.2617904584057,2243.8605353063576,iy,2
607.1853894308089,2647.8794397196134,ih,2
403.6847413958877,2721.6545336780177,iy,2
427.41076305878903,1606.4345461755697,uh,1
191.58582842188378,1884.6204848857708,uw,1
603.1647141747437,1386.305503958138,ah,1
384.1278016826058,1307.515035019223,ao,1
575.2082704136392,1572.8363631984462,eh,1
672.0405713786547,1511.601831749657,ah,1
456.5339414747338,2390.8533019949214,iy,2
422.77861136175954,1554.1855811059752,ah,0
584.6352811901892,2471.349760598001,iy,2
554.2440523920633,1859.706940502384,uh,1
695.9447607946345,1702.6693744401741,ah,2
483.277809396041,1505.1430671842222,uh,2
722.4204352449135,1566.5304508611837,ih,1
564.6996790259007,1858.6076414062447,ih,1
621.1076081945919,2004.4979062946868,ih,1
448.2430478983587,2068.5711709661246,ih,0
620.0519159852463,1311.1663140959981,ah,1
451.24184498356334,2689.797428881575,iy,2
612.2358170825577,1408.6102921200118,eh,2
849.6037617901403,1706.5231257493797,ah,1
687.7648330407904,1821.5623276471765,eh,1
579.65770527058,2282.7736145990402,iy,2
863.1426383665844,1984.5141195954234,aa,1
361.97804545427465,1205.7901566869632,ah,0
507.48609853574317,2240.322597513288,ih,2
449.3674915732064,2261.7923854969495,ih,2
918.7838128131933,2020.6961846215615,eh,1
683.5352047381116,1265.2805917826704,ah,1
602.7709604956765,2305.29189106641,ih,1
473.52484458553425,1841.88720504239,uw,0
738.3708403841259,1962.3316167103671,aa,1
634.4455732508993,1463.6939176573183,uh,1
500.4689779575144,2656.72982309244,ih,2
461.9336094792203,2018.793433033048,iy,1
557.0639173829499,1854.027361959166,ih,2
648.2480590963755,1777.011020323774,ih,2
1217.430826144612,1823.5543684529707,ae,1
426.52935753718236,2158.65096474395,iy,2
897.3773571428035,1538.4695601906806,ae,1
684.9921093905962,1604.1189253881926,eh,1
877.7516361280373,1556.7362597252038,aa,1
703.3390956030481,1441.4863421953416,eh,2
757.9770328357633,1745.84011821884,ah,2
547.5044655592709,2364.422946978406,iy,0
630.2329360846775,1562.6545229712144,aa,2
575.5785934803171,1392.9128693108246,ah,1
675.6471560872352,1721.6058937375503,eh,1
786.4242198429697,1782.8605082394402,aa,1
572.4057753083144,1597.9427493731469,eh,2
481.48427642969347,1700.1674644792245,ih,1
586.1595283549815,2242.190833263211,eh,1
547.713176557317,2344.770224852719,ih,2
672.6095738121452,1910.7212143052238,ih,1
403.3144267702164,1959.5795831332218,uh,2
1081.968935913556,1273.5942992720654,ah,1
724.1150010198338,1910.203292875542,ah,1
434.18670500213807,1276.8843986797858,ah,0
470.29432628436405,2031.891962871174,ih,2
456.2166831426205,1947.9675786178063,iy,0
722.1018199250875,1278.4427593354999,ah,2
594.8072131284529,1555.885411440176,ih,1
