speaker,vowel,f1,f2,f3,duration,df1_on,df2_on,df3_on,df1_off,df2_off,df3_off,language,register,z_f1,z_f2
HS10,a,600,1832,2809,130,50,68,-648,65,45,-73,sp,ads,0.5597661958004592,0.10688458065820032
HS10,o,467,912,2377,60,48,135,117,-163,-612,-388,sp,ads,-0.40008761452634345,-1.7780964720004138
HS10,o,462,1558,3209,50,-73,-680,-853,225,240,2,sp,ads,-0.4361723442378774,-0.45451195024229996
HS10,e,527,2148,2957,80,-3,-73,-29,24,205,118,sp,ads,0.032929142012063733,0.7543345943974634
HS10,i,345,2602,3031,140,5,43,257,-24,118,44,sp,ads,-1.2805550194877715,1.6845317660355186
HS10,e,607,2314,3234,260,-8,-70,-48,-9,-4,-5,sp,ads,0.6102848173966067,1.0944507408554307
HS10,a,744,2020,2864,90,13,-32,29,318,66,73,sp,ads,1.5990064114926363,0.492076360984091
HS10,e,414,1564,2309,40.958,-11,258,-63,-36,48,-72,sp,ads,-0.7825857494686032,-0.44221859555104814
HS10,o,533,1572,2397,60,-18,-40,-58,-9,-256,-355,sp,ads,0.07623081766590445,-0.4258274559627124
HS10,a,686,1720,2981,100,-71,16,-52,181,-65,10,sp,ads,1.1804235468388429,-0.12259137357850053
HS10,a,820,1717,3099,70,-43,-13,-115,60,24,-38,sp,ads,2.147494303107952,-0.12873805092412643
HS10,a,463,1678,3009,49.898,-28,136,969,210,576,768,sp,ads,-0.4289553982955706,-0.20864485641726335
HS10,o,460,1167,2165,50,-46,-150,279,2,-273,91,sp,ads,-0.45060623612249096,-1.255628897622211
HS10,a,568,1112,1974,60,37,5,-20,267,-618,-507,sp,ads,0.328823925646642,-1.3683179822920193
HS10,a,725,1912,2888,160,-67,-95,38,91,-189,67,sp,ads,1.4618844385888075,0.27079597654155807
HS10,e,467,2363,3026,166.931,-45,53,138,33,-64,143,sp,ads,-0.40008761452634345,1.1948464708339874
HS10,e,318,2050,2994,40,24,99,-88,82,149,61,sp,ads,-1.4754125599300547,0.5535431344403502
HS10,i,567,2221,2952,39.386,-77,25,-112,-24,107,-44,sp,ads,0.3216069797043352,0.9039037431410274
HS10,a,569,1897,2995,22.664,11,72,59,40,66,167,sp,ads,0.33604087158894874,0.24006258981342848
HS10,a,415,1669,2807,40,63,-25,527,63,263,742,sp,ads,-0.7753688035262963,-0.2270848884541411
