speaker,vowel,f1,f2,f3,duration,df1_on,df2_on,df3_on,df1_off,df2_off,df3_off,language,register
s01,ah,358,1771,2592,28.478,-14,-46,-246,76,-33,-292,en,ads
s01,ah,432,1663,2257,29.156,14,-30,149,108,-2,-88,en,ads
s01,ah,609,1965,3135,99.675,-14,11,-236,4,-11,-118,en,ads
s01,iy,462,2559,3159,66.868,-0.7,-754,-266,48,-181,-177,en,ads
s01,ih,528,2244,3302,42.686,-22,110,6,4,183,56,en,ads
s01,iy,453,2743,3229,73.229,26,-284,12,11,2,-0.7,en,ads
s01,ah,647,2154,3091,37.842,-51,1,172,-10,159,71,en,ads
s01,uw,456,2373,3058,68.482,-0.2,-40,-52,7,187,-68,en,ads
s01,ah,583,2073,3091,57.713,-83,-65,55,88,104,-9,en,ads
s01,eh,634,1925,3257,91.536,26,26,-96,129,11,-60,en,ads
s01,ah,590,1760,2898,35.937,-3,14,91,52,62,46,en,ads
s01,iy,412,2880,3570,66.448,10,-246,-245,157,731,177,en,ads
s01,ae,664,1540,2398,190.53,25,571,973,-12,-43,326,en,ads
s01,ah,513,2121,3200,131.541,-145,3,-386,84,61,-58,en,ads
s01,uw,394,1979,3081,81.365,58,166,6,87,448,160,en,ads
s01,eh,809,1918,2883,124.76,-146,205,47,28,73,-318,en,ads
s01,eh,856,1989,3251,65.459,-95,-67,43,160,13,16,en,ads
s01,ah,540,2345,3016,43.395,47,-177,37,94,-218,-46,en,ads
s01,ah,621,1868,3226,88.341,-21,51,-47,60,-35,305,en,ads
s01,eh,760,2072,2984,92.214,-122,240,37,57,128,-42,en,ads
s01,ah,542,2093,3066,30,-15,39,18,35,24,-22,en,ads
s01,eh,730,1978,3166,66.448,-94,-595,-1124,102,681,1231,en,ads
s01,ah,607,1838,3043,29.156,9,-33,47,78,62,46,en,ads
s01,ih,414,1961,3298,31.19,28,95,-51,51,-21,15,en,ads
s01,ah,564,1957,3138,73.907,-118,54,90,36,-73,6,en,ads
s01,ae,826,1705,2955,84.304,99,-302,-1058,40,-111,-111,en,ads
s01,ah,487,2005,3106,30.922,128,68,-99,42,246,357,en,ads
s01,ih,637,2265,3457,84.077,4,-16,-82,38,-4,86,en,ads
s01,ah,478,1481,2694,50.175,-86,295,-141,67,80,348,en,ads
s01,aa,712,1560,2226,69.838,-36,-133,-137,-34,-67,77,en,ads
s01,ih,585,2533,3223,58.869,-12,-1572,-773,-5,-176,57,en,ads
s01,ah,719,1925,2985,60.346,-105,-33,-67,90,28,-95,en,ads
s01,eh,648,2190,3388,44.751,-35,-143,-78,45,-32,-57,en,ads
s01,ae,726,2249,3250,134.253,-112,299,57,31,190,1038,en,ads
s01,uh,470,1726,2267,35.571,29,34,135,44,102,-48,en,ads
s01,ah,423,1696,2642,23.731,-9,-1,68,32,18,93,en,ads
s01,ah,481,1735,2369,25.088,17,-111,-227,33,-107,-190,en,ads
s01,ah,507,1789,2357,23.507,5,-71,-202,118,8,-306,en,ads
s01,ah,594,1686,2792,59.569,-14,79,-16,42,-33,-37,en,ads
s01,eh,811,1987,2786,42.717,-47,-43,-112,10,51,88,en,ads
s01,ae,632,1817,2140,84.756,62,38,732,8,51,-886,en,ads
s01,ah,506,1550,2772,18.123,51,-74,-13,-25,-17,-7,en,ads
s01,eh,828,1954,2644,105.097,-15,-109,50,-27,-57,185,en,ads
s01,ih,215,2021,3078,67.804,1104,-60,162,-111,-16,95,en,ads
s01,ae,648,1957,2939,101.029,120,-9,-72,-26,132,372,en,ads
s01,iy,481,2148,3022,90.18,-53,-208,0.06,-3,-71,193,en,ads
s01,eh,619,2142,3257,63.058,39,-48,-14,138,59,76,en,ads
s01,ae,769,1532,2097,103.062,-11,493,821,-13,-565,-787,en,ads
s01,iy,247,2381,3147,65.092,104,-171,-38,86,-105,305,en,ads
s01,uh,539,2076,3224,31.868,18,-61,-26,42,7,-26,en,ads
s01,iy,569,1251,1886,71.281,29,185,584,0.07,34,-492,en,ads
s01,ih,652,2460,3526,57.432,11,213,-169,43,172,-27,en,ads
s01,aa,774,1823,3468,50.175,-267,-22,-63,299,-47,298,en,ads
s01,eh,598,2109,3223,86.111,21,-40,5,-106,-26,41,en,ads
s01,iy,413,2026,3063,42.044,9,-335,-29,105,-20,12,en,ads
s01,ah,842,2179,3067,62.381,-20,7,-95,78,5,-53,en,ads
s01,ah,670,2111,2876,36.614,-2,-66,100,114,404,555,en,ads
s01,ah,732,1542,2820,31.868,-85,202,108,45,132,-37,en,ads
s01,ah,743,1332,3445,90.858,-21,106,-82,99,150,-103,en,ads
s01,ih,601,1903,3484,86.789,-282,-59,-995,153,-104,397,en,ads
