,speaker,vowel,f1,f2,f3,duration,df1_on,df2_on,df3_on,df1_off,df2_off,df3_off,language,register,z_f1,z_f2,learned_cats
104,HS10,e,432,1849,2704,100.0,19.0,674.0,-36,42.0,-116.0,-219.0,sp,ads,-0.652680722507081,0.1417157522834138,1
105,HS10,o,358,741,2447,106.57,78.0,145.0,63,163.0,-650.0,-215.0,sp,ads,-1.186734722237783,-2.1284570807010907,3
106,HS10,e,494,1783,2943,50.0,12.0,-22.0,178,79.0,89.0,-21.0,sp,ads,-0.2052300740840602,0.0064888506796436,2
107,HS10,e,488,2224,3158,26.061,7.0,12.0,-29,-5.0,122.0,448.0,sp,ads,-0.2485317497379009,0.9100504204866532,2
108,HS10,e,538,2313,2986,42.115,-29.0,-192.0,-23,-31.0,-175.0,-283.0,sp,ads,0.1123155473774383,1.0924018484068887,2
109,HS10,e,435,2570,2985,50.0,29.0,-146.0,-8,102.0,306.0,84.0,sp,ads,-0.6310298846801606,1.6189672076821755,2
110,HS10,i,422,2367,2994,50.0,-3.0,-72.0,257,1.0,199.0,134.0,sp,ads,-0.7248501819301488,1.2030420406281552,2
111,HS10,a,600,1832,2809,130.0,50.0,68.0,-648,65.0,45.0,-73.0,sp,ads,0.5597661958004592,0.1068845806582003,1
112,HS10,o,467,912,2377,60.0,48.0,135.0,117,-163.0,-612.0,-388.0,sp,ads,-0.4000876145263434,-1.7780964720004138,3
113,HS10,o,462,1558,3209,50.0,-73.0,-680.0,-853,225.0,240.0,2.0,sp,ads,-0.4361723442378774,-0.4545119502422999,2
114,HS10,e,527,2148,2957,80.0,-3.0,-73.0,-29,24.0,205.0,118.0,sp,ads,0.0329291420120637,0.7543345943974634,2
115,HS10,i,345,2602,3031,140.0,5.0,43.0,257,-24.0,118.0,44.0,sp,ads,-1.2805550194877715,1.6845317660355186,0
116,HS10,e,607,2314,3234,260.0,-8.0,-70.0,-48,-9.0,-4.0,-5.0,sp,ads,0.6102848173966067,1.0944507408554307,2
117,HS10,a,744,2020,2864,90.0,13.0,-32.0,29,318.0,66.0,73.0,sp,ads,1.5990064114926363,0.492076360984091,2
118,HS10,e,414,1564,2309,40.958,-11.0,258.0,-63,-36.0,48.0,-72.0,sp,ads,-0.7825857494686032,-0.4422185955510481,1
119,HS10,o,533,1572,2397,60.0,-18.0,-40.0,-58,-9.0,-256.0,-355.0,sp,ads,0.0762308176659044,-0.4258274559627124,2
120,HS10,a,686,1720,2981,100.0,-71.0,16.0,-52,181.0,-65.0,10.0,sp,ads,1.1804235468388429,-0.1225913735785005,4
121,HS10,a,820,1717,3099,70.0,-43.0,-13.0,-115,60.0,24.0,-38.0,sp,ads,2.147494303107952,-0.1287380509241264,4
122,HS10,a,463,1678,3009,49.898,-28.0,136.0,969,210.0,576.0,768.0,sp,ads,-0.4289553982955706,-0.2086448564172633,1
123,HS10,o,460,1167,2165,50.0,-46.0,-150.0,279,2.0,-273.0,91.0,sp,ads,-0.4506062361224909,-1.255628897622211,3
124,HS10,a,568,1112,1974,60.0,37.0,5.0,-20,267.0,-618.0,-507.0,sp,ads,0.328823925646642,-1.3683179822920193,3
125,HS10,a,725,1912,2888,160.0,-67.0,-95.0,38,91.0,-189.0,67.0,sp,ads,1.4618844385888077,0.270795976541558,4
126,HS10,e,467,2363,3026,166.931,-45.0,53.0,138,33.0,-64.0,143.0,sp,ads,-0.4000876145263434,1.1948464708339874,2
127,HS10,e,318,2050,2994,40.0,24.0,99.0,-88,82.0,149.0,61.0,sp,ads,-1.4754125599300547,0.5535431344403502,1
